title,salary,company,location,job_link
小程序运营专员,5-8K,煌上煌集团,嘉兴·秀洲区·塘汇,https://www.zhipin.com/job_detail/2ccffcb9278e36a41H152tm-EVVU.html?lid=4nxPvvYQExI.search.12&securityId=gVBPpRG0dfs7k-z13hBVhEyTAIKxY0XI7GkXuD-wZRMgSiBW4vUGhGSDGvNLVEt9crxBsuL-Ght0eSMGjH5FPoCEoNhwMm0yrd6rRa0TMIO323jt0Iz7SkDg9HpUnqce9mC-wQSVT2N3&sessionId=
web前端开发岗,4-6K,山西清墨汇源文化传媒,晋中·榆次区·魏榆路,https://www.zhipin.com/job_detail/6fd8489f2720a46e1HF709W1FVpS.html?lid=4nxPvvYQExI.search.34&securityId=WJq8sllzMV6Ot-71UMAzhASgwvw9TUuyoM2sHuorrqSie2MFXkntW7sKa0uOIy-cAnXPBt-nGgdy130T5X15KOjP_mAxIcIuw5gi-wamo-5OE9sTCtobJw2ZAnx8LIzprJVsf7jn42EuKA~~&sessionId=
小程序产品经理,35-65K·16薪,某大型知名互联网上市公司,北京,https://www.zhipin.com/job_detail/85ad86060e81a21d1Hxy09m-EFtV.html?lid=4nxPvvYQExI.search.56&securityId=antQCZz9rtQiO-O150I-HRcS7Nm-KxflryKSpDzmJGNY1AIVl7Lyrlc-r-RkNuXFkmSWsbFbENzv6_a6Uq2N6G13BjBzc5FLWyjiG25zd3VgoMhJefMYC6k39_tE6OEPyr2tiv0s3kPK1Q~~&sessionId=
抖音外卖小程序城市合伙人,10-11K,宸鑫传媒,九江,https://www.zhipin.com/job_detail/04879bfd18c2f9a51HFz09i5GVpS.html?lid=4nxPvvYQExI.search.76&securityId=fkc59MACeyZ3u-T1_60edXQCR4mjN9gEVOJ4fvXuMbOgXQbyWNZDgThQGIiCluFkECL8QOoOE_WqiuCrfhu3qWq_Q1cICok4OwTiEqSXwJ4Lpr6AiB1Nei7tzqUotm3k6oTkT_F-w5_Gzg~~&sessionId=
前端H5小程序,7-12K,深圳舍魄诺电商信...,深圳·龙岗区·南联,https://www.zhipin.com/job_detail/3963496a657b10571XR6292_EFtQ.html?lid=4nxPvvYQExI.search.98&securityId=JFS9cQ9v38pXl-n1y_UfoxDRNHWG_4UlURYdGr2CNLjfwjIkAWPQ9LGdRWCVv0nzXlmiJ67LlLUATHyhgcLM2k_THk1Nt3A2svdjwMTbhU_llYWDQJJaLD20pOoFgJ27nTkE9NmioLTu&sessionId=
前端开发工程师,12-16K,聚人动力,北京·朝阳区·望京,https://www.zhipin.com/job_detail/a6f29a06c708026c1H1539i6EVdV.html?lid=4nxPvvYQExI.search.127&securityId=WEv36YjY_mxFL-Z1u0NNX2JWVXN3JSwVDuPQU0umcrBiHmm7nidFsuTvE1OGdegz8IkR9tqm7uF-RZbk-jLyaOScq5VTF5wTmKb3jSLicxc_w9ym3rEUOplHmT131onUX1ZZj83Tczk~&sessionId=
Java开发,50-60元/时,剧在(上海)文化...,上海·普陀区·曹杨,https://www.zhipin.com/job_detail/e396edae2f524d7e1HF92Ni9GFZX.html?lid=4nxPvvYQExI.search.137&securityId=UZHVmpNOOxGSE-K1-SSccOPdK2rquMwbInhMkMDRfGjzjySy2hp6tRmDLQrmy5hTA2kvBaq9UzqRB4-hdBuMOxFbpy-JXPpNoxUUya8xibAJAUqakRLXoGW4jLafKGKNY2hHW_S4aQ2k&sessionId=
前端开发工程师-react（base宁波）,10-15K,浙江徽创信息技术有限,杭州·余杭区·闲林,https://www.zhipin.com/job_detail/8cbd2b38ddb576151Hxz2NS1F1dS.html?lid=4nxPvvYQExI.search.239&securityId=nwXQsKzKtJdS4-h1o9k-MhFOdI0cRJdqa2EVs13UjWag4eEVGIxa_BJ9DbWnsu4TNoloxsbaKknY6qEWQDZu-NojEACYVZYGZxVAlxkdC6CMKr9-p3CrIRztiS5eLC9u92epyJlNLUm8HA~~&sessionId=
